"city@sourceA","type@sourceA","name@sourceA","addr@sourceA","city@sourceB","type@sourceB","name@sourceB","addr@sourceB","Confidence"
"'los angeles'","american","'arnie morton's of chicago'","'435 s. la cienega blv.'","'los angeles'","steakhouses","'arnie morton's of chicago'","'435 s. la cienega blvd.'","96"
"'studio city'","american","'art's delicatessen'","'12224 ventura blvd.'","'studio city'","delis","'art's deli'","'12224 ventura blvd.'","94"
"'sherman oaks'","french","'cafe bizou'","'14016 ventura blvd.'","'sherman oaks'","'french bistro'","'cafe bizou'","'14016 ventura blvd.'","99"
"'los angeles'","american","campanile","'624 s. la brea ave.'","'los angeles'","californian","campanile","'624 s. la brea ave.'","95"
"'santa monica'","french","'chinois on main'","'2709 main st.'","'santa monica'","'pacific new wave'","'chinois on main'","'2709 main st.'","97"
"'los angeles'","californian","citrus","'6703 melrose ave.'","'los angeles'","californian","citrus","'6703 melrose ave.'","100"
"malibu","californian","granita","'23725 w. malibu rd.'","malibu","californian","granita","'23725 w. malibu rd.'","100"
"'los angeles'","french","'le chardonnay'","'8284 melrose ave.'","'los angeles'","'french bistro'","'le chardonnay (los angeles)'","'8284 melrose ave.'","95"
"'beverly hills'","asian","matsuhisa","'129 n. la cienega blvd.'","'beverly hills'","seafood","matsuhisa","'129 n. la cienega blvd.'","96"
"'los angeles'","californian","patina","'5955 melrose ave.'","'los angeles'","californian","patina","'5955 melrose ave.'","100"
"'los angeles'","italian","'rex il ristorante'","'617 s. olive st.'","'los angeles'","'nuova cucina italian'","'rex il ristorante'","'617 s. olive st.'","96"
"'santa monica'","italian","valentino","'3115 pico blvd.'","'santa monica'","italian","valentino","'3115 pico blvd.'","100"
"'new york'","american","'21 club'","'21 w. 52nd st.'","'new york city'","'american (new)'","'21 club'","'21 w. 52nd st.'","96"
"'new york'","continental","aquavit","'13 w. 54th st.'","'new york city'","scandinavian","aquavit","'13 w. 54th st.'","95"
"'new york'","american","aureole","'34 e. 61st st.'","'new york city'","'american (new)'","aureole","'34 e. 61st st.'","96"
"'new york'","'coffee bar'","'cafe lalo'","'201 w. 83rd st.'","'new york city'","coffeehouses","'cafe lalo'","'201 w. 83rd st.'","95"
"'new york'","continental","'cafe des artistes'","'1 w. 67th st.'","'new york city'","'french (classic)'","'cafe des artistes'","'1 w. 67th st.'","94"
"'new york'","italian","'carmine's'","'2450 broadway  between 90th and 91st sts.'","'new york city'","italian","'carmine's'","'2450 broadway'","93"
"'new york'","delicatessen","'carnegie deli'","'854 7th ave.  between 54th and 55th sts.'","'new york city'","delis","'carnegie deli'","'854 seventh ave.'","90"
"'new york'","american","chanterelle","'2 harrison st.  near hudson st.'","'new york city'","'french (new)'","chanterelle","'2 harrison st.'","91"
"'new york'","french","daniel","'20 e. 76th st.'","'new york city'","'french (new)'","daniel","'20 e. 76th st.'","96"
"'new york'","asian","dawat","'210 e. 58th st.'","'new york city'","indian","dawat","'210 e. 58th st.'","95"
"'new york'","italian","felidia","'243 e. 58th st.'","'new york city'","italian","felidia","'243 e. 58th st.'","97"
"'new york'","american","'four seasons grill room'","'99 e. 52nd st.'","'new york city'","'american (new)'","'four seasons'","'99 e. 52nd st.'","93"
"'new york'","american","'gotham bar & grill'","'12 e. 12th st.'","'new york city'","'american (new)'","'gotham bar & grill'","'12 e. 12th st.'","96"
"'new york'","american","'gramercy tavern'","'42 e. 20th st.  between park ave. s and broadway'","'new york city'","'american (new)'","'gramercy tavern'","'42 e. 20th st.'","92"
"'new york'","'tel caribbean'","'island spice'","'402 w. 44th st.'","'new york city'","caribbean","'island spice'","'402 w. 44th st.'","92"
"'new york'","american","'jo jo'","'160 e. 64th st.'","'new york city'","'french bistro'","'jo jo'","'160 e. 64th st.'","92"
"'new york'","french","'la caravelle'","'33 w. 55th st.'","'new york city'","'french (classic)'","'la caravelle'","'33 w. 55th st.'","96"
"'new york'","french","'la cote basque'","'60 w. 55th st.  between 5th and 6th ave.'","'new york city'","'french (classic)'","'la cote basque'","'60 w. 55th st.'","92"
