what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417495511843
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1417495516535
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1417495516555
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1417495519713
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417495527348
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417495527394
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1417495532599
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1417495532608
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1417495532614
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1417495532620
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1417495532640
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1417495532647
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1417495532652
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1417495532666
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1417495532696
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1417495532699
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1417495532715
started,bundle,org.eclipse.jst.j2ee,1.1.400.v201005271900,"org.eclipse.jst.j2ee",1417495532743
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1417495532782
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1417495532791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495532811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495535917
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417495536928
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417495544976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495552340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495560145
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417495564800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495572576
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495582971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495583005
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495586052
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417495589206
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495604770
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495619852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495627917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495636872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495637570
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495638960
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417495639009
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495642010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495647893
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1417495656668
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417495657542
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1417495660716
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495669125
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1417495679740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495687866
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1417495692432
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1417495693362
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1417495694777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495703225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417495711492
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.debug.core"".",1417495711939
error,log,,,"An exception occurred during launch change notification.",1417495711963
